,sentiment,company,text
1882,neutral,United,question departure base eastern central zone actually
1883,positive,United,quick ty auciello sorry hear please follow dm detail transpire jh
1884,negative,United,lose belonging honest
1885,negative,United,back denver airport ready round two today ready home
1886,negative,United,course morning see non stop iah sfo unavailable yesterday
1887,negative,United,minute plus two first one transfer spanish hotline unacceptable
1888,negative,United,united lose baggage airport country disappears
1889,neutral,United,united ticket rerouted iad due weather jfk home united
1890,negative,United,wasting money arrive hour late destination
1891,negative,United,unite checked baggage never find
1892,negative,United,english spanish rep call locate bag resolve issue
1893,negative,United,would overnight bag wed unknown location courier company apparently contact
1894,negative,United,hey thanks miss buddy bday guy really trashy company shouldhaveflowndelta
1895,negative,United,never frustrate conversation united speak spanish courier company bag
1896,negative,United,never mislead company many week unite airline
1897,negative,United,would never united airline
1898,negative,United,still airport wait
1899,negative,United,airline tell luggage one hour away destination day
1900,negative,United,one operate ramp let plane iah wow wow
1901,negative,United,cancel sends email say think next customer outrage
1902,negative,United,super computer pile poo ots pant lots cranky people line cmh reflight book problem delay check in direct flyer
1903,negative,United,ua cancel flightled pay first class ticket new seat please fix
1904,neutral,United,need new tucson
1905,negative,United,check system trouble check departs less hrs
1906,negative,United,fuck close premier access line ord probably gon na miss start treat customer well
1907,negative,United,human contact mths cust relation refund dept ever problem human talk
1908,negative,United,would think would clean ramp jet stick snow newark would never happen
1909,negative,United,would understand weather issue bc airline maintenance sleep airport floor lose entire day
1910,negative,United,delay min bc miss screw danger miss
1911,negative,United,hour minute hold able cancel flightled change delta
1912,negative,United,ua finally cancel hrs delay replacement leave late flightr one schedule tomorrow cool
1913,neutral,United,sister bil stick detroit desperately need florida w anything
1914,negative,United,overbooked fifty people worst
1915,negative,United,min ea try bk tix asia website customer service want business korea air
1916,negative,United,would like know easiest way refund
1917,negative,United,unite paid economy plus change bc delay automatically refund
1918,negative,United,engineer design door frame extend half foot plane seat force always sit
1919,neutral,United,sent
1920,negative,United,realize say already least last ask need
1921,negative,United,thanks one delay hour half prior schedule departure
1922,negative,United,also phone customer service almost useless
1923,negative,United,lose bag next load hour delay consequence platinum gold
1924,negative,United,day late flightr one delay one cancel flightled gate seat assign lot standby ppl also wait
1925,negative,United,leave first day ground let
1926,positive,United,mess iad san diego
1927,negative,United,wifi work onboard alert attendant socket send hotel hour voucher wifi hotel
1928,negative,United,luck standby
1929,neutral,United,plan ipad app iphone app great ipad flip ipad beta tks
1930,neutral,United,try hung twice speak someone put hold minute resolution
1931,negative,United,unsure next
1932,negative,United,weight restriction try many plane
1933,positive,United,person houston could rout newark nj sfo
1934,negative,United,bish
1935,neutral,United,thanks good know
1936,neutral,United,okay thanks
1937,negative,United,conference begin hour night due delay still wait talk someone lose luggage
1938,neutral,United,thanks reply
1939,negative,United,customer service line try scream epicfailunited
1940,neutral,United,deliver hold cross border pick please try deliver
1941,positive,United,thanks look
1942,positive,United,one lady luggage
1943,negative,United,delayed hour arrival vegas seriously lose luggage
1944,positive,United,meet agent take care thx reply
1945,positive,United,suntoshi still like united airline
1946,negative,United,wifi hotel
1947,negative,United,still miss luggage promise someone would call call far shanghai dc connect ord
1948,neutral,United,look european attendant paris frankfurt best fabrice
1949,negative,United,cancel flightled without notification
1950,negative,United,since international connection hop thing
1951,neutral,United,need never ticket conf ggqzqd
1952,neutral,United,compensation e g upgrade higher class reschedule muc today appreciate though
1953,negative,United,late reflight book problem morning already longer need hotel room
1954,negative,United,customer service providence airport horrible actually care customer money
1955,neutral,United,sorry accidentally populate flightd instead wait til sky newamericanstinks
1956,negative,United,aircrft maintenance delay hour refund option
1957,negative,United,know thanks standard reply
1958,negative,United,told change im ottawa airport ac cant find reservation whats wrong
1959,negative,United,worst experience ever end vacation bad note
1960,positive,United,thanks epic service always pleasure outstanding crew
1961,negative,United,hey guess sleep cause care little customer let sleep airport
1962,negative,United,concern unaddressed
1963,negative,United,duh do bag whereabouts unknown greeeaat
1964,negative,United,thanks let sleep dia ensure ruin much vacation possible wait fuck
1965,negative,United,oh share alright especially sleep shitty airport sleep night ua
1966,negative,United,maxabrahms need assistance expect scooby doo tour terminal find stuff
1967,negative,United,thanks write back assist return bag lose clean feces sprinkle bathroom much ask
1968,negative,United,hung
1969,negative,United,customer service team manilla absolute shit even supervisor without back hold
1970,negative,United,disgust unconscionable treatment receive tonight
1971,negative,United,course would like hepl kid reason hold past hour
1972,negative,United,thisiscoach every united delay big frustration
1973,negative,United,kid still talk human robotweeting ask follow
1974,negative,United,united describe feces sprinkle bathroom inconvenience might find baggage lose return
1975,negative,United,fact treat disrespectfully lied member airline claim strive best
1976,negative,United,matter fact different destination put tremendous amount stress
1977,negative,United,awesome job
1978,negative,United,absolutely disgust way treat customer anyone actively monitor cust serve unreal
1979,negative,United,nice wonder pick respond maybe happy customer easier wonder many leave
1980,negative,United,average minute wait tonight tonight
1981,negative,United,thanks nothing really minute wait call back wait
1982,negative,United,customer service unbelievably bad abysmal phone well tonight hung yr ppl
1983,negative,United,read full story submit case team pilot sleep dia
1984,neutral,United,schedule
1985,negative,United,inconvenience weather delay pilot decide waste enough faa let negligence
1986,negative,United,bought ticket price publish mistake email indicates unite cancel flightled ticket
1987,negative,United,sure miss mark tonight redeye lax chicago mess well
1988,negative,United,avoidable non weather delay appreciation link well give goldentickets
1989,negative,United,luggage
1990,negative,United,leave delayed
1991,neutral,United,set figured baggage office
1992,negative,United,screw expect never
1993,negative,United,allow family small child board first anymore next another airline
1994,positive,United,life goal complete check mark
1995,neutral,United,draw super sweet picture choose round trip san diego palm tree palm tree cold
1996,negative,United,cancel flightled denver service agent offer non jet salt lake denver red eye atlanta hung
1997,negative,United,call throw loyalty window try give less award
1998,negative,United,unhelpful team sure bangkok bag chicago pay accommodation bag arrives
1999,negative,United,hardly call mile mile ticket cut edge perk
2000,negative,United,apology say
2001,positive,United,sent dm acknowledgment
2002,neutral,United,download jeokoo american app air traveler
2003,negative,United,hold almost two hour try talk someone cancel flighted tomorrow morning suggest
2004,negative,United,apology cool
2005,negative,United,ask lot customer routinely screw know right
2006,negative,United,first solo female traveller pretty scary foreign place ignore belonging
2007,negative,United,know bag wait around hope arrive one answer plan answer
2008,negative,United,somehow knew wait airborne respond hack joker neveragain
2009,negative,United,wastedtime
2010,negative,United,strand texas hang try figure home cool
2011,negative,United,tried change three phone disconnected
2012,negative,United,poor show today assistance passenger mis connect due maintenance wait baggage
2013,negative,United,show tone deaf video year wifi come hah leave ftw
2014,neutral,United,follow christmas
2015,negative,United,people strand cause suck well yet weasel book problem room people claim weather
2016,negative,United,look delta land pilot claim jac
2017,positive,United,much appreciation
2018,negative,United,sit hour land newark first gate jetway operator seriously
2019,negative,United,worst customer service experience ever minute jetway plane ewr tonight disappoint
2020,negative,United,hour delay double booked seat nit park wrong gate incompetence finest wait hr
2021,negative,United,look people tryn sleep airport due shitty company comping room cxl
2022,negative,United,rout person houston newark nj sfo acceptable
2023,neutral,United,phone
2024,negative,United,freakin
2025,neutral,United,pick
2026,negative,United,suck
2027,negative,United,min
2028,negative,United,ewr getmeoffrhisfuckinplane
2029,neutral,United,seat available pm ord rdu need seat please
2030,negative,United,still try thing work yet respond back
2031,negative,United,screw reservation assign new one change change original
2032,negative,United,suck
2033,negative,United,yo need new website really badly day age
2034,neutral,United,rebooked pick luggage
2035,negative,United,lack gate ready gate agent hour two
2036,negative,United,dm
2037,negative,United,different fiasco outward trip rebooked qantas lax syd ff mile show account shock
2038,neutral,United,follow need follow dm
2039,negative,United,would great callback agent disconnect try put hold wait connectfor
2040,negative,United,good day two delayed still plane ewr waiting hour gate gate gate agent
2041,neutral,United,call earlier sent dca first pvd may rent car instead
2042,negative,United,luggage set dca however rerouted dulles currently nolo however bags houston fix
2043,neutral,United,sacramento minneapolis end october business class
2044,negative,United,extremely disappointed w service trip mileageplus explorer card holder
2045,negative,United,hope corporate office ready deal rage create shitty service bullshit pilot
2046,negative,United,never vacation week lose bag way clothes thankyou
2047,negative,United,sadly due mother nature investigate incident employee sfo terrible customer experience
2048,negative,United,take delayed hr passenger miss tel aviv
2049,negative,United,try tel aviv try take right cruel next
2050,negative,United,consider stuck newark virtually sleep hour doubt hope car rental available
2051,neutral,United,see several economy plus put seat together
2052,positive,United,really great flatter story proud smile via
2053,negative,United,airline suck customer service suck courtesy incompetent passenger matter bet ceo fine though
2054,negative,United,expect cancelled tomorrow morning give storm
2055,negative,United,also ran water refuse service costumerservice legit jk
2056,neutral,United,question
2057,negative,United,increase legroom airline compare via
2058,negative,United,seg flt yvr zurich would credit mile segs full fare
2059,neutral,United,see two two seat morning
2060,negative,United,send green tag bag luggage carousel one mess another bad day
2061,negative,United,lounge tell pillow grandma one lady open closet see right
2062,negative,United,ago well rest hold plane without food
2063,negative,United,sit denver airport wait plane refuel hour half hurry fuck united fucking retard
2064,neutral,United,airport first thing morning
2065,negative,United,rebooked tomorrow even though class seat orig lousy coach seat
2066,negative,United,well one miss mark snit minute step counter
2067,neutral,United,work also
2068,negative,United,compensates delay cause fact enough attendant
2069,negative,United,iad delay offer water cooky business class fail
2070,neutral,United,yes nonstop memphis tomorrow morning snow come finger cross
2071,neutral,United,travel young kid choose original reason
2072,negative,United,since drop layover still acceptable
2073,negative,United,layover itinerary swap layover itinerary really
2074,negative,United,zrh depart late hour late flightr still seat inside plane iad fail
2075,negative,United,completely change july never receive notification
2076,neutral,United,upgrade avail
2077,negative,United,wife two new destination stick dc monday bag
2078,negative,United,spoke baggage contact number say try bag stay iad pick tmrw
2079,negative,United,sure upgrade list ewr pdx use gpu priority weird email
2080,positive,United,two seat avail far
2081,negative,United,earned place worst airline business
2082,neutral,United,number denver las vega sunday feb cancel flighted
2083,negative,United,read say case please define example would differ case
2084,negative,United,sorry really slow even spotify lag hard stream
2085,negative,United,tomorrow night hotel voucher higher rate travelocity unloving cost hard work staff
2086,negative,United,sit newark wait gate seriously threehourslate
2087,negative,United,ever print know traveler number ticket never use tsa prescreen pay
2088,negative,United,board decent useless agent speak english hold mech delay much
2089,neutral,United,trip another airline home
2090,negative,United,cancel last opportunity rebook even pass
2091,negative,United,board plane would much faster board back front instead front back makessense efficiency travel
2092,negative,United,desk attendant state would sit awhile give clear lack communication seem norm
2093,negative,United,suffer immensely ever since merge hopefully never ever
2094,negative,United,really like plane
2095,negative,United,possibly worst airlinegave three chance second week delay cancel flightled due mechanic
2096,negative,United,cabin pressurization issue pretty serious land washington head pounding
2097,negative,United,sandra ur international checkin counter rude offensive comment care complain cuz
2098,negative,United,contact stuff bag legally blind messed
2099,negative,United,mention plane luggage luggage bear many day
2100,negative,United,call customer service least min cut operator call back
2101,negative,United,tell least cover room
2102,negative,United,omg bump last worse
2103,negative,United,speaks basically worst design web system ever
2104,negative,United,yeah try two different ticket tell try late flightr
2105,negative,United,please fire captain today single handedly ruin every passenger day piece shit
2106,neutral,United,blow
2107,negative,United,exactly hang hook
2108,negative,United,cancel flightled hr airport book new one two invoice approx really
2109,negative,United,hire po pilot thanks ruin trip deny see buddy turn unitedsucksdick
2110,negative,United,united airline rat worst america work cut bc treat customer like garbage
2111,neutral,United,best way ticket print home check desk
2112,negative,United,pay hotel break student
2113,negative,United,standby houston tomorrow calgary could one two would
2114,negative,United,nightmare side disaster houston attitude cuz send ticket counter
2115,negative,United,terrible
2116,negative,United,eventually explain weather condition extreme luggage plane send day
2117,negative,United,anyone read dm
2118,positive,United,denver board finger cross air
2119,negative,United,ewr mco unplanned landing pressurization failure worst pain ever felt think pas
2120,negative,United,takeoff regardless late wait bag baggage claim
2121,negative,United,hour point let people plane cnn
2122,negative,United,try customer service agent land sfo layover kid
2123,neutral,United,early morning hnl anywhere continental example monday need phl
2124,negative,United,nope give maybe deliver
2125,positive,United,thanks upgrade please try company approve business class travel
2126,negative,United,delay cs notification
2127,negative,United,wait
2128,negative,United,hop spare c tomorrow ship board sched aircraft delay previous flts
2129,positive,United,hubby skin teeth smile
2130,negative,United,incompetence truly stunning point hour plane hour nonstop
2131,negative,United,delay mechanical failure hrs runway hrs late flightr still lose bag resolution
2132,negative,United,worst
2133,negative,United,still wait
2134,negative,United,thanks reply clarify airfare similar likely intended peer group beer charge however
2135,negative,United,lie lie still sit gate stay place inch
2136,neutral,United,request upgrade ewr bom end may mile copay know upgraded
2137,negative,United,though others row behind use w issue
2138,negative,United,customerservice could differ worse bad weather awful
2139,neutral,United,plan restate nonstop service iad south florida miss fll
2140,negative,United,instead tell board wait email tell delay
2141,negative,United,additionally husband pay tv service stop work halfway
2142,neutral,United,follow
2143,negative,United,unfortunately ask staff could say ask ppl row switch one would
2144,neutral,United,cancel flightled
2145,negative,United,baggage person tell handle connect
2146,negative,United,send pm two week ago hear nothing horribleservice
2147,negative,United,well degree could know experience cancel flighting mile card god
2148,positive,United,excite work guy
2149,neutral,United,could really use bag iad head yow yxu
2150,neutral,United,appear six calgary tomorrow correct
2151,negative,United,yet still leave yet watch pre pay directtv firstworldproblems
2152,negative,United,yr team hold hour unhelpful pls answer question
2153,negative,United,united let know find everyone luggage thanks
2154,neutral,United,serve peanut nuts yr yr policy r confuse contradictory advice pls anaphylaxis ask refrain
2155,neutral,United,another airport closer calgary tomorrow
2156,negative,United,nope ua suppose leave still gate apparently pull back de ice
2157,negative,United,still lack bag clt airport originally tell would
2158,neutral,United,yes hour landing
2159,negative,United,texted say delayed due air traffic control b pull plane late lie
2160,negative,United,ord sign gate agent little
2161,neutral,United,right
2162,neutral,United,tonight houston want stick till monday bad weather move
2163,negative,United,website say leave min nobody board yet pathetic needtobehonest
2164,negative,United,air another miss cnxn atc strike belize family miss cnxn ewr please see dm
2165,negative,United,airline cancel flightled tomorrow nyc area
2166,neutral,United,hop earlier phone option assistance hotel
2167,negative,United,pay hotel room cleveland last minute cancel flightled connecting book united unimpressed
2168,negative,United,cancel flightled wait customer service
2169,neutral,United,today leave sunglasses seat please back
2170,negative,United,delay another hour mins transit lax extremely unlikely
2171,negative,United,back gate b c something overheat sit hour love unite stink
2172,negative,United,congratulation unite fail sky gate plane full people wait weather worse leave
2173,negative,United,leave bag houston despite system say definitely
2174,negative,United,come shuttle bus lga ewr electrical power outlet new airbus interior whyjeff
2175,negative,United,reply good check outlet preflight move different equipment board due malfunction
2176,negative,United,hr w broken dreamliner medium system witness mental breakdown bounce wall remind
2177,negative,United,rebooked thru sfo arrive hour late miss activity ask today stop tell pay
2178,negative,United,never
2179,positive,United,tonight fred flintstone happy upgrade class
2180,neutral,United,need contact regrading complaint voucher fund future travel unite
2181,negative,United,try strand houston tomorrow morning pretty sure overflight booking problem maintenance fault
2182,negative,United,costumer service today providence airport suck recommend airline learn check weather honest
2183,negative,United,fire yr rep refuse put board pas seat full explanation name complaint
2184,positive,United,great pls let know start
2185,neutral,United,ehsanismpowered lmfao
2186,negative,United,god damn fuck crew till know hour half bullshit
2187,negative,United,really culture problem everyone try work blame someone else tell short staffed
2188,negative,United,suck
2189,negative,United,understand lack another plane available full day till departure unacceptable phoenix
2190,negative,United,honestly ruin fuck life right never
2191,negative,United,cancel flightled bdl strand wait almost customer service shout diligent agent
2192,positive,United,ord
2193,negative,United,quality work
2194,negative,United,customer service rep could confirm bag give different info ruin event today disappoint
2195,negative,United,let know million customer treat like garbage coincidence ur rank worst airline
2196,negative,United,yes land last night speak baggage claim customer service rep finally speak one amaze ticket agent
2197,negative,United,charge biz uk somewhat egregious charge top sam adam draft united club usurious
2198,positive,United,see thanks explain
2199,negative,United,social listen capability awful reply context mention
2200,negative,United,follow dm phone call
2201,positive,United,hour wait issue resolve contact customer service comment wait thanks contact
2202,positive,United,yes must fix break ramp thanks
2203,negative,United,sit water answer remind hate airline
2204,positive,United,thanks
2205,neutral,United,hey miss outbound still use return ticket
2206,negative,United,say final carrier air want bag claim im sorry want clothes
2207,negative,United,seriously hrs bag iad intl arvls carousel custs w cancel flightled connects understand irrops ridiculous
2208,negative,United,delay hrs total missed thnx
2209,negative,United,usairways americanone one bag claim want mga
2210,negative,United,fail uncontrollably today beyond repair beyond livid absolute disregard operation
2211,neutral,United,opal dragon book dragon ali woven murder way philippine australia
2212,negative,United,today never luggage recourse person buy clothes reimburse
2213,negative,United,keep kick error message try purchase try least
2214,neutral,United,way message international gate ewr road condition horrible try
2215,neutral,United,hello world record attempt amount ball point pen collection please could pen
2216,negative,United,culture issue
2217,negative,United,rep rebook waste poor communication
2218,negative,United,late due mechanical issue past day
2219,negative,United,employee almost seem happy delivery terrible customer service
2220,neutral,United,service desk iad
2221,negative,United,major city already cancel flightled hour departure due weather backup plane
2222,positive,United,amazing today son birthday kindness hope soon
2223,negative,United,hold phone well half hour wait reservation change want online
2224,negative,United,instead wait plane ottawa never come back home try tomorrow suitcase still lose
2225,negative,United,glad solve prob experience remain
2226,negative,United,cancel flighted iad jax suppose use plane bna use plane another destination instead
2227,negative,United,chance ord ever bring bag
2228,neutral,United,possible ticket change via twitter travel internationally call thanks advance
2229,negative,United,lhr iah email
2230,negative,United,fill hope someone respond book next trip
2231,negative,United,meant change plane hate seat wing want would book formal complaint
2232,neutral,United,give email address send actually screen shot
2233,negative,United,guy change age double book seat even though platinum person none
2234,neutral,United,also check email file correct
2235,negative,United,check spam junk mail case nothing
2236,negative,United,sloppy stuff see anymore unite raised expectation team poor
2237,negative,United,long take response customer service complaint do email
2238,negative,United,bag tag lead many people back aisle front bag
2239,negative,United,cabin crew huge offender stand conversational cluster block exit passenger
2240,negative,United,allow passenger block exit plane
2241,negative,United,wheelchair
2242,negative,United,commitment good turnaround operation mgr would count dozen small issue individual performance
2243,negative,United,nightmare continue
2244,negative,United,team add min turnaround
2245,positive,United,million miler ua almost every week observe gate crew commit good operation
2246,negative,United,call wait minute airport wait longer
2247,positive,United,thanks
2248,negative,United,yes wait four hour one able
2249,positive,United,compensate lose bag
2250,negative,United,sit runway hour ridiculous
2251,negative,United,service pretty much ruin day thanks weak attempt
2252,negative,United,forgot tell come thanks allow miss connection
2253,negative,United,deodorant shampoo toothpaste seem like would limit correct
2254,negative,United,force check rollaboard ua plenty room overhead next seat
2255,negative,United,please take membership away shock
2256,negative,United,please economy plus seat awful day cancel flighted lot plan
2257,negative,United,strand weather blame hold speak agent understand concept zone thanks
2258,neutral,United,yaayy yay prom
2259,negative,United,system give seat away economy econ seat give plus seat away
2260,positive,United,ask boyfriend prom loudspeaker say yes best day ever much
2261,negative,United,yep use twice case id number assign tried screen say submit request
2262,negative,United,please move seat lose upgrade seat ticket hand
2263,positive,United,appreciate
2264,positive,United,hmmm seem like could something change flyerfriendly
2265,positive,United,problem follow back
2266,negative,United,appreciate looong wait something fault
2267,negative,United,husband suppose rdu iad iad fra leave hour cancel flighted wait phone
2268,negative,United,probably least satisfactory airline ever never fail disappoint
2269,positive,United,amaze best ever kid service incredible
2270,negative,United,unsure call customer care customer care
2271,negative,United,unacceptable belize right
2272,negative,United,normally happen let flyer provide feedback
2273,positive,United,upgrade first class nice way fix earlier mistake
2274,negative,United,plow snow gate plane arrive sit minute hr fail
2275,neutral,United,saturday morning man die ebola
2276,positive,United,rhonda c atlanta airport redeem guy straightened
2277,negative,United,ok do experience family terrible experience kind like robbed explain
2278,negative,United,great job lose one six bag direct know manage
2279,negative,United,worst customer service denver
2280,negative,United,class seat move econ econ
2281,neutral,United,allow deny carry checked baggage
2282,negative,United,board movement min wow experience keep worse worse
2283,negative,United,employee gate boarding like expect ur customer competent company like ur rival
2284,negative,United,wonder cabin filthy badservice
2285,negative,United,ask stewardess take disinfectant wipe trash say hand badservice
2286,negative,United,need well airline
2287,negative,United,cancel flightled due mechanical issue ask cab fare say weather
2288,neutral,United,book yet ask book
2289,positive,United,hi look like connection delay thanks
2290,negative,United,luckily disinfectant wipe job welcome badservice
2291,negative,United,really clean food coffee stain area around seat new passenger come aboard gross
2292,positive,United,cldnt happier w many plastic wing pin give love amazing staff nice
2293,neutral,United,since ua ord ewr delay push meal mean cater meal first
2294,negative,United,invest plane people less stock buyback executive pay maybe would disappoint
2295,negative,United,roc cancel flightled love snowy drive home useful substitute
2296,neutral,United,correct correct sorry lose
2297,negative,United,crazy long form need something video
2298,negative,United,hope see issue return tomorrow
2299,negative,United,cancel flightled ridiculous
2300,negative,United,page head best call hold min
2301,neutral,United,min layover earlier layover move
2302,positive,United,thanks reply better seat next leg munich would nice
2303,negative,United,appreciate put hold hung request big group try
2304,neutral,United,home calgary without add expense accommodation meal
2305,negative,United,reply frustration spending upgrade put wait list
2306,negative,United,nathankillam staff could try throw luggage around
2307,negative,United,strand new orleans huston tonight stick two day rather wait
2308,negative,United,hello first class behind people zone pls pas app dept board class first
2309,positive,United,take care mom reflight book problem phl
2310,negative,United,anyone deal person cowardly customer service look eye anyone
2311,negative,United,nope call lose seating preference pay still sit see happen w late flightr
2312,negative,United,stuck dc try denver engine shut twice terminal available
2313,positive,United,ill check appreciate response regardless
2314,neutral,United,nope case id either
2315,negative,United,yes cancel flightled move figure car rental change
2316,negative,United,trouble news raise bar legroom
2317,positive,United,phenomenal frm gate sea gate iad
2318,positive,United,united thanks hopefully easily resolve
2319,neutral,United,gold international baggage limit apply book ticket even domestic leg travel friend
2320,negative,United,terrible travel experience travel mile roundtrip two cancel flightlations short hop cost two day
2321,negative,United,charge people see freak map
2322,negative,United,mco delay schedule arrive connection departs option
2323,negative,United,company value customer read tweet one feels way lostmybusiness
2324,negative,United,insult disrespect met incompetence every turn voucher domestic round trip
2325,negative,United,day iad cvg iad cancel flightled united airline operate friend stick miss intl
2326,neutral,United,already dm concern pls check
2327,negative,United,well want customer frustrate compensate appropriately screw royally fakesincerity
2328,neutral,United,aware lot smile sad change shoe boot ha happyflight
2329,positive,United,thanks
2330,negative,United,employee angriest angst iest group people anywhere except tasha check iah
2331,negative,United,doubtful unite travel lot sale manager cover north america
2332,positive,United,finally give let threaten send back vegas coach thnx
2333,negative,United,worst customer non service sure
2334,negative,United,worst airline ever
2335,neutral,United,number different heading mpls
2336,neutral,United,take iad afternoon
2337,neutral,United,bangkok day spend husband mid deployment leave like asap
2338,negative,United,let employee know good service kind attitude towards customer vital kind business thanks
2339,neutral,United,husband
2340,negative,United,need assistance line door travel kid
2341,negative,United,friend hare bc say proof buy class tkt board pas
2342,positive,United,give smile today zero award computer sense humour smile
2343,negative,United,right tropic air san pedro belize line door due elect appoint hack
2344,neutral,United,take compliment mistaken several member staff remove scarf smile
2345,negative,United,new mileage policy awful might pay slightly united mile difference
2346,negative,United,anyone assure aircraft come denver left previous destination
2347,negative,United,yes refund ticket give email address let know happen
2348,negative,United,would like speak vp custexp jimmy samartzis send survey email awful exp
2349,negative,United,delay san pedro belize schedule belize city houston wait please
2350,negative,United,hello unite take care call center mexico city office terrible attitude lady
2351,negative,United,great guess late open service horrible overcharge care everyone miserable
2352,neutral,United,glad mean something lol
2353,negative,United,unbelievably disappointed delay delay stop mess life
2354,negative,United,really great flatter story proud smile via
2355,neutral,United,able seat earlier sfo ind add ord ind
2356,negative,United,hour ago rcvd notification pls
2357,negative,United,interview yesterday attendant last person recruiter say lose file n come back interview
2358,negative,United,remember business pleasant experience mean tell friend bad experience mean tell everyone see
2359,negative,United,bum lose biggest bag
2360,negative,United,airline xfinity cable internet
2361,negative,United,customer check mark button customer service cross mark
2362,negative,United,great decision skill ops iah bag minute connection push early disappointed
2363,negative,United,meanwhile fuck festivity already full swing united fairway club overlook hole
2364,negative,United,process purchase ticket price change unbelievable ripoffs pricediscrimination
2365,negative,United,although strand chicago hare another hour chance cracker jack service team could provide meal
2366,positive,United,cancel shock trip refund without difficulty staff extremely helpful complaint way handle bad weather
2367,negative,United,hour land atl still lack bags mean clothes makeup nothappy
2368,negative,United,bully workforce ok gate agent work team never cool delay
2369,negative,United,really fuck day hilo lax delay software miss connection home late flightr upgrade nothin
2370,negative,United,unsure expect anyone
2371,negative,United,true gate agent cause helpful thanks miss connection
2372,neutral,United,yes luckily
2373,negative,United,birthday sister come celebrate keep cancel plz
2374,negative,United,hold slc den
2375,negative,United,den phx tomorrow cancel ask overnight lax sna tell without pay wrong
2376,neutral,United,please follow dm
2377,negative,United,yeah happen
2378,negative,United,hour late flightr nothappy
2379,negative,United,maintenance issue stick geneva meal voucher even cover plate spaghetti really
2380,negative,United,nonupgrade
2381,negative,United,announcement extra baggage find empty bin aisle back baggage seat row agent argue
2382,negative,United,bag arrive sure miss customer focus day use hop wake
2383,negative,United,total b class seat connect crew late miss connection next plane yet honor
2384,negative,United,united much info share via tweet please send name contact info happy supply image cs rep name
2385,negative,United,lack customer service astounds worst airline history airline train staff
2386,negative,United,united leave crew pssgrs strand rain gate cover leave psngrs depart plane
2387,negative,United,besides land plane overall customer service experience poor late rude worker plus miss luggage
2388,neutral,United,call global service desk via phone
2389,negative,United,fuck shitty fucking information
2390,positive,United,good
2391,neutral,United,much ski bag cost check bag contain pair ski one pair pole
2392,positive,United,frustrate well way relate flightd anyway impressed
2393,neutral,United,thanks
2394,neutral,United,let log email thx hop dtw ase without issue today
2395,positive,United,oh wi fi router top fuselage
2396,negative,United,seat appear mite problem dr recently confirm bug bite mite
2397,negative,United,come reopen ord clear grow dc backlog
2398,negative,United,customer service delay coupon redeem website higher price expedia call wait
2399,negative,United,strongly consider take business elsewhere
2400,negative,United,website allow post require document keep technical difficulty
2401,negative,United,really need start upgrade plane tv inflight wifi currently unavailable
2402,negative,United,dig new mileage earning plan would earn mile change award ticket price
2403,negative,United,outsource ticket gate agent mia ill advise roc service downhill keep employee flier first
2404,negative,United,hung customer service wait min hold guess vacation happen website working
2405,negative,United,mileage plus account login username email least three day
2406,negative,United,incentive give another chance
2407,neutral,United,dad book orbitz due weather airport
2408,negative,United,finally right response unite must check issue ua ewr puj friday
2409,neutral,United,begin newark london heathrow route may panynj froschtravel
2410,negative,United,baldordash rebooked arrived hour late flightr last year hrs san diego inflight entertainment
2411,negative,United,lose bag huston leave bahamas cruise today nola buy new stuff customer service non existent
2412,negative,United,site errored last step change award even pull reservation minute wait thanks
2413,negative,United,chance today dam let see redeem last horrendous trip state
2414,positive,United,impressed far app worth damn sms update
2415,neutral,United,last minute deal cute little frequentflyer smile friday cancel flightled
2416,negative,United,worst customer service experience ever unite airline
2417,negative,United,airline ever airline disgrace listen tweet horrible
2418,negative,United,diverge burlington vermont suck
2419,negative,United,officially inefficient board procedure reason take min board plane
2420,negative,United,hour sit plane leave gate yet hour actual leave
2421,negative,United,sent detail customer care link send almost month ago response
2422,negative,United,terrible service military member family ridiculous
2423,neutral,United,hi question future book problem dub jac jac lax la laugh ub g check bag allowance jac lax
2424,negative,United,cancel need reflight book problem
2425,negative,United,surprised take min never experience anything like number
2426,neutral,United,newark liberty airport
2427,negative,United,afraid service every week unhappy spend much money unhappy
2428,positive,United,daughter bd party w proj weather cond look promise please assist earlier flts cmh
2429,negative,United,cancelled today everyone favor stall inevitable
2430,negative,United,plane wait gate two hour passenger onboard cramp seat yuck
2431,negative,United,delayed hour due mechanical issue could use free drink inconvenience
2432,negative,United,cell phone record need check see conversed trust faa handle better
2433,negative,United,wireless epic fail greedy piggy worst
2434,negative,United,inspected picture routine aircraft check cell phone faa nyt say
2435,negative,United,checkin calamity
2436,negative,United,never terrible service ruin entire vacation lostsuitcase noreimbursement
2437,negative,United,web app let upgrade seat call center wait minute plus want legroom pita
2438,negative,United,character uncover reason afraid
2439,negative,United,busy cell phone
2440,negative,United,really fill form experience send email email address
2441,negative,United,left gate minute early thought count sit tarmac half hour comeonpeople
2442,positive,United,kudos capt herman relay chief pilot email someone
2443,negative,United,depart website say delay due operational difficulty mean
2444,negative,United,teach gate agent lie learn overhead space bag check
2445,neutral,United,first officer ua check prior departure ewr yesterday cell safety
2446,negative,United,book lh via ua however gate rebooked late flightr lh earn pqd
2447,negative,United,couple self service policy cost cut exacerbates note issue
