,sentiment,company,text
4479,positive,Southwest,it all good thanks
4480,positive,Southwest,you smile
4481,negative,Southwest,now you love me after take my money and only take me halfway home sorry too late
4482,negative,Southwest,oh ok all good look forward to escape the cold for a bit thanks
4483,negative,Southwest,wifi be so slow what be the point have one if ca on the internet ugh
4484,neutral,Southwest,i have a few question about with my maltese puppy can you dm me
4485,neutral,Southwest,any word when the customer relation department will open back up
4486,neutral,Southwest,can you tell me if from mdwfll tomorrow be at full capacity i m hop for a little bit of extra room smile face with smile eye
4487,neutral,Southwest,just leave there friday
4488,positive,Southwest,oh no worry just have never see that before until today i meanit be a great card grin face
4489,positive,Southwest,you you you my last attempt to win destinationdragons ticket be a success i could differ happier smile
4490,positive,Southwest,phx to lax wheel stop glad to be home thanks to the professional both up front and in the cabin
4491,positive,Southwest,eye next step for improve inflight wifi runway girl
4492,neutral,Southwest,could you maybe hook fuyukaidesuyo with some imagine dragon ticket tonight shes a hugeeeee fan would really love to
4493,negative,Southwest,have evennotified us that theflight isdelayed via emailtextphone callif we wererunning late i would be piss unreliable
4494,negative,Southwest,can tweet through the weekend bad weather but close down customer relation center to process refund for cancel flighted
4495,negative,Southwest,stop cancel flighting my i have us history test to take and chemistry thing to learn do you not understand
4496,positive,Southwest,it be welcome
4497,negative,Southwest,be all up and down the area where the pic be take and do see any album
4498,neutral,Southwest,i enjoy a call from my good friend he book problem his elsewhere as i tweet one at a i will tell as many as i can
4499,positive,Southwest,you great customer service so far accident happen i understand hopefully everything work out
4500,negative,Southwest,my question be this what up with the crazy boarding procedure do the confusion prevent fistfight over the good seat
4501,neutral,Southwest,open online application for fall intern position throughout the company apply via
4502,neutral,Southwest,honesty should always be the policy
4503,positive,Southwest,thanks for the quick response should i call daily it wait the day
4504,neutral,Southwest,i know i be correct
4505,neutral,Southwest,so much more with the agcommunity
4506,neutral,Southwest,any deal to orlando in aprilmay
4507,neutral,Southwest,magazine feature desk plant increase productivity by luvswa healthbenefitsofplants garden laugh ubaq
4508,neutral,Southwest,new marketing song let us know what you think
4509,negative,Southwest,prove it cuz the southwest people here do even know why it behind schedule
4510,positive,Southwest,see your worker in and out above and beyond be why i love with you guy you
4511,negative,Southwest,u be bae until u lose both of my bag and have no clue where they be or what happen to them for hour
4512,negative,Southwest,prove it
4513,positive,Southwest,travel agent darrel here at love field host a paper airplane contest to entertain all the child be so awesome to see
4514,positive,Southwest,big kudos to your staff today at dallas love field for lift everyone spirit today with all the delay and cancel flightlations
4515,positive,Southwest,desk have be awesome patience luvswa
4516,negative,Southwest,think that a voucher up for spending hr on a plane and landing at the same airport we take off from really
4517,positive,Southwest,never to the strip that fast before stoke for special show tonight thx again http tcotopqmvqnjp
4518,negative,Southwest,the problem be apology do result matter and it prove impossible to find anyone who be interested in that
4519,neutral,Southwest,no fare give out clue in route now
4520,positive,Southwest,tell my fam in vega now smile
4521,neutral,Southwest,how many ticket be leave
4522,positive,Southwest,you
4523,negative,Southwest,do these scavenger hunt location have anything in common because i m play detective try to figure out the one for atl
4524,neutral,Southwest,why do you have to be loudly cry face
4525,negative,Southwest,ruin my sunday hour of delay out of dia now my bag be at the wrong airport to deliver them insult to injury
4526,positive,Southwest,what can we do to bring you back to jackson m we miss you terribly around here these other airline be horrible
4527,neutral,Southwest,any idea why tsa precheck be show for my next tomorrow the number be in my profile
4528,negative,Southwest,sent look for that functionality in your app though should be a one click action
4529,neutral,Southwest,still there i be post up in downtown wait for yall on my way
4530,negative,Southwest,like kelsey say really bad spot for local do you know how long it take to find parking then walk over to the bellagio
4531,neutral,Southwest,be people there
4532,positive,Southwest,look like bellagio to me good luck people see you at the show at vinyl
4533,neutral,Southwest,southwestair congrats to these fan who be see destinationdragons in la slc you next thanks again sw
4534,positive,Southwest,can a pair of ticket wait for me after my sport practice i live here and definitely know where that be
4535,positive,Southwest,love southwest you guy have be good to me
4536,negative,Southwest,how about destinationdragon tix for tonite for the inconvenience since i be here to play scavenger hunt
4537,neutral,Southwest,dang if only practice be an hour late flightr today
4538,neutral,Southwest,that be suppose to say boo not book booo
4539,neutral,Southwest,vega i be there day ago miss the warm weather
4540,positive,Southwest,your crew on be do a great job of keep everyone inform during the delay givethemraises
4541,negative,Southwest,right we delay so i m crabby smile also why do you allow one family member to purchase earlybird check in and hold row
4542,positive,Southwest,really easy for local to down to the strip book
4543,neutral,Southwest,grrrrrr i need a there first maybe for my bday next month
4544,positive,Southwest,luv your new luv television commercial travel on your airline last year return trip from nyc feltthelove
4545,neutral,Southwest,be it possible to add travel arrange by my employer to my upcoming travel i can retrieve a reservation but that it
4546,neutral,Southwest,i send a email to customer relation and i will be call tomorrow
4547,neutral,Southwest,how do priority seating after you already pay for the
4548,negative,Southwest,people pre board only need a wheel chair off the plane be not the case boarding
4549,neutral,Southwest,be it possible to add companion to only the leg of a trip
4550,positive,Southwest,best airline ok hand
4551,positive,Southwest,netneutrality nice to see you prioritize internet traffic to your own streaming service over other web site
4552,negative,Southwest,poor customer service display over the weekend during the storm i be stick on the tarmac for hour with no answer
4553,neutral,Southwest,northern california coast
4554,neutral,Southwest,hi guy do you have a general enquires email address please thanks david
4555,neutral,Southwest,watch plane do their thing
4556,positive,Southwest,thanks for us to paradise safely
4557,negative,Southwest,feel very frustrated that i buy wifi onboard and ca load an email
4558,neutral,Southwest,continue to prove to be the best airline flex biceps
4559,positive,Southwest,just ahead and start the scavenger hunt after pm today when work be over destinationdragons
4560,neutral,Southwest,thanks
4561,positive,Southwest,awesome staff at the check in desk they have a paper airplane race for a sw gift card to keep ppl entertain during delay
4562,negative,Southwest,but when do i my gin tonic
4563,negative,Southwest,be this a sick joke toyingwithouremotions
4564,negative,Southwest,please explain to me why every other to dallas be out today except the pm
4565,negative,Southwest,will continue to be my airline of choice most frustrating travel day i experience delay and gate change
4566,positive,Southwest,just a call apologize personally for the long wait last week try to rebook class act i appreciate that
4567,negative,Southwest,serious potential for a wan na away commercial out of this debacle but for real you should fire
4568,negative,Southwest,i appreciate the response but the constant changing of the be frustrate to say the least toughtomakeplans
4569,negative,Southwest,how long do we have to be delay after board before we a free drink gettingthirsty
4570,neutral,Southwest,do sorry i think i be already
4571,negative,Southwest,i can do it seem fair that if our bag need to fit under our seat we should need to fit in them
4572,positive,Southwest,your terry be our hero my husband back thru security to retrieve cellphone leave on plane in austin terry u rock
4573,negative,Southwest,phone answer she say sorry no dice
4574,negative,Southwest,be too sincere when you cancel my and me drive hour to home
4575,positive,Southwest,your terry be our hero my husband back thru security to retrieve cellphone leave on plane in austin terry u rock
4576,positive,Southwest,your terry be our hero my husband back thru security to retrieve his cellphone in austin terry you rock
4577,positive,Southwest,thanks you guy be the best
4578,positive,Southwest,i ll stick with for free any where that southwest my son work for this wonderful company and mom free
4579,neutral,Southwest,if only you could control the weather in las vega wink face
4580,negative,Southwest,pretty terrible customer service sit on hold min then a busy signal then disconnect do all airline have to suck
4581,neutral,Southwest,could you please tell me if there be a way to add a rr to a that already take place
4582,negative,Southwest,hook us up and us to tampa after our be cancel flightled this morning grateful businesstrip
4583,positive,Southwest,love the passbook update use it the day after it be release finally you
4584,neutral,Southwest,my ticket be book to cun do the arrival reflect that cun be now on est
4585,negative,Southwest,hdsportsguy yes i do i hope for an update soon need those clothes for a meeting tomorrow
4586,positive,Southwest,a to the safety do and donts announcer from midway mdw to pittsburgh pit
4587,negative,Southwest,this be not a fair set up i pay for a full seat i should access to a full seat
4588,negative,Southwest,sorry to bother you but i be on hold for more than hour and minute should i continue hold or call back
4589,positive,Southwest,another great trip lax las bna thanks so much
4590,negative,Southwest,your checkin be lame for business really last seat i have broad shoulder haha
4591,negative,Southwest,yeah they somewhere hopefully them back today just frustrate tweeting
4592,negative,Southwest,completely understand act of god weatherrelate flightd cancel flightlation but day without reimbursement of any kind be unacceptable
4593,negative,Southwest,why so expensive to to vegas with stop in late june as i can non stop for same on competition
4594,negative,Southwest,delay twice now cancel send complaint email yet no response need an explanation pls notsatisfied smh unhappy
4595,positive,Southwest,from a nice lady on the phone in georgia you
4596,negative,Southwest,when will the resume i don see it in the open schedule
4597,neutral,Southwest,understand the weather these kid need to home nice kid do volunteer work from a ri high school please
4598,positive,Southwest,thanks for the quick reply i travel a lot but not that much lol
4599,negative,Southwest,that do sound hopeful it a very thin device so i just hope the right person find it in
4600,negative,Southwest,my bag be hide luv do break it to phl with me
4601,negative,Southwest,i regret not you this morning do support business traveler neverflyvirginforbusiness
4602,positive,Southwest,thanks i do through these motion shortly after my yesterday i wonder how quickly attendant be notify
4603,negative,Southwest,how many others do know you be stop non stop to atl and from to hartford ct as of april
4604,neutral,Southwest,thanks lindsey any idea when i ll there stuck in denver and tell to listen to the intercom better
4605,positive,Southwest,nice touch on the passbook integration
4606,neutral,Southwest,easy fix let the business select actually board then board the preboards
4607,negative,Southwest,a companion pas flyer to other airline because it be abuse every airport
4608,negative,Southwest,it not disappointment it a blatant disregard for your business select customer it become a problem that push
4609,neutral,Southwest,need assistance an extension on a that have expire
4610,positive,Southwest,awesome thanks you guy rock
4611,negative,Southwest,hello remain credit on your account will be refund back to your credit card when you choose a lower price
4612,neutral,Southwest,when can we expect customer service in dallas to be available
4613,negative,Southwest,it eventually arrive just seem really slow smile
4614,negative,Southwest,my bag be on the way to chicago without me i be confirm for and tell there be room and i m screw
4615,negative,Southwest,i just recieved an email from your memphis station hopefully they have my bag
4616,negative,Southwest,could use some luv
4617,positive,Southwest,thanks for add passbook ability hopefully we can do group passbook ticket in the future somehow
4618,negative,Southwest,yep certain it be on that
4619,positive,Southwest,they arrive late but pilot us to dia on impressive outstanding greatservice allgood
4620,positive,Southwest,i would appreciate that you
4621,negative,Southwest,i never an email confirmation for my ticket but the credit card be charge phone wait be crazy be there a chat
4622,negative,Southwest,chg onlineapp no work still on hold faster for hubby to drive to airport to change counter fail
4623,neutral,Southwest,can my wife rr point be transfer to my rr account
4624,negative,Southwest,my friend from boston stick in denver her name jane please contact her
4625,negative,Southwest,i do but no one can find the bag and we need everything in it in the next two hour
4626,negative,Southwest,be able to sit in my seat since the guy next to me be use it worstflightever ideserveareward
4627,positive,Southwest,glad to know i ll be the luv airline tomorrow
4628,negative,Southwest,yes we do file a report and be treat rather rudely at midway baggage claim now we wait day to our luggage
4629,negative,Southwest,i would still have my companion pas if your ridiculous airline have stop partner with hilton hotel genius
4630,negative,Southwest,just companion pas and try to add companion flgt but purchaseerrorinvalidloyaltymemberaccountstatus
4631,negative,Southwest,i do still have hear a thing
4632,positive,Southwest,you for great customer service try to it to san antonio and your staff and alert have be helpful boo ice
4633,positive,Southwest,open seating be like an open marriage there so much love for stranger
4634,negative,Southwest,i hope this be a real life scene out of the movie
4635,neutral,Southwest,thanksare operate now or cancel flightled
4636,neutral,Southwest,we check in right at mark board c group with kid age dnt want to be split what sld we do
4637,negative,Southwest,lukewyckoff her name be jane and she want be a call
4638,positive,Southwest,matthewebel and this be why i love southwest excellent service and you do take yourselves too seriously
4639,neutral,Southwest,hello be take off from airport this noon be suppose to travel on to san antonio
4640,neutral,Southwest,we invite to fallow learn about our activitiesprevention program of health by condomrito familywe r c
4641,neutral,Southwest,unveils new include from ohio
4642,neutral,Southwest,from washington reagan to ftlauderdale on avgeek
4643,neutral,Southwest,from washington reagan to ftmyers on avgeek
4644,neutral,Southwest,from orangecounty to portland or on avgeek
4645,neutral,Southwest,from columbus oh to oakland on avgeek
4646,neutral,Southwest,from columbus oh to boston on avgeek
4647,negative,Southwest,password reset email be incredibly slow to arrive today check spam folder too web site say a few minute but no expression
4648,neutral,Southwest,clinicpolly you i may have already respond but be
4649,negative,Southwest,i have terrible service in three airport in hour glad they do care we kind of need to be home sellmypointssoon
4650,positive,Southwest,thanks confirmation number just dmed appreciate any
4651,negative,Southwest,on hold for min no estimate answer any here
4652,negative,Southwest,i m to start charge you for the consistent body pat down start to feel like a piece of meat punishedforflying
4653,negative,Southwest,what up with the wait on your customer service line try on fri and now i be on for over min
4654,neutral,Southwest,can you equip a with flamethrower and a snow plow
4655,neutral,Southwest,unveils new route include from ohio via
4656,negative,Southwest,no delayed hour another week another delay
4657,neutral,Southwest,thanks for link to passbook might be old news but this be my first
4658,neutral,Southwest,do realize no clothes until at hotel suggestion
4659,neutral,Southwest,may want to direct that to the people at tok
4660,negative,Southwest,bag in possession but no clothes in bag
4661,negative,Southwest,you really to let and the best of you
4662,negative,Southwest,i call and i m be tell that i will but i never emailcall back
4663,neutral,Southwest,be there a link to a site that display any delay or cancelled flightations of to and from
4664,negative,Southwest,pleaseeee resume direct from fll to phl i do want to with anyone else weary face tire face cry face
4665,negative,Southwest,what to do when you show up to your destination with no clothes in your suitcase nakedmeetings awkward
4666,neutral,Southwest,be there discount every tuesday cause im leave fron birmingham airport to san fran next week in march sometime
4667,negative,Southwest,do anyone realize that ban peanut on a due to an allergic person ignore pnut oil dust from previous
4668,negative,Southwest,customer service be rude and bother by our call have no idea what be on and sigh heavily on the phone unbelievable
4669,negative,Southwest,nelsjeff hr late flightr no human interaction end up ing a completely new so last out do sell out
4670,negative,Southwest,loses baggage a day ago and still have no idea or interest in find it all item for new job in that bag unacceptable
4671,neutral,Southwest,how do i a companion pas thanks lin
4672,positive,Southwest,just send dm thanks for your attentiveness to this matter
4673,negative,Southwest,how about fix the wifi where it not work series plane so dislike it an old plane
4674,negative,Southwest,mdwsan like most if i m watch free tv it work but wo hardly access any website include your own
4675,neutral,Southwest,kid on a mission trip from lasalle strand in orlando area they ca back to bos or pvd till wednesday
4676,neutral,Southwest,pls baby hannah the life save surgery she requiresshe need your helppls donatert
4677,negative,Southwest,almost at the gate for to sf please wait more second
4678,negative,Southwest,i say to lady well that system be about dead she do understand
4679,negative,Southwest,all be book they be say i have to wait until tomorrow
4680,neutral,Southwest,arrangement to reimburse me for the rental i have to
4681,positive,Southwest,me on one of your plane thanks for take me arizona
4682,negative,Southwest,gate agent give me wrong departure info and cause me to miss my and now i be on stand by nothappy
4683,positive,Southwest,thanks
4684,negative,Southwest,my bag be lose and accord to the rep they do even know where it be please
4685,positive,Southwest,have send you a dm with the detail thanks
4686,positive,Southwest,you for the confirmation maybe people on my have directional dislexia
4687,neutral,Southwest,an email confirmation of wifi purchase on a recent trouble be i never with you ever concerned scam
4688,negative,Southwest,really all other carrier be staff and you a triple loop one and no employee in sight in okc
4689,negative,Southwest,i m now miss one full day of my trip thanks to this
4690,neutral,Southwest,be into dallas this morning thanks
4691,negative,Southwest,you me home over an hour and a half late but at least my baggage be deliver soak wet
4692,neutral,Southwest,have to be stick in the middle seat shock
4693,neutral,Southwest,destinationdragons scavenger hunt vega be ready
4694,positive,Southwest,you know what be beyond awesome a pair of ticket to the show in atl a girl can dream destinationdragons
4695,positive,Southwest,yes i be everything work out great
4696,positive,Southwest,show me some love and a companion flightplease and you
4697,negative,Southwest,cancel flightled my reschedule to ewk give me a pseudovoucher that direct me to the worst in existence fail
4698,positive,Southwest,love it
4699,negative,Southwest,need to train their employee to be at lease somewhat empathetic when they lose our luggage monika at mwa need a pr lesson
4700,neutral,Southwest,i be in let do this
4701,negative,Southwest,you completely let me down tonight your gate agent ambivalence be just too much how sad for you me
4702,neutral,Southwest,this sunday morning at chicago midway mdw
4703,negative,Southwest,cancel flightled new hour late flightr will sleep in airport tonight and cant even give me an a boarding group seat thx
4704,neutral,Southwest,just read your boarding policy we a group of traveller with kid range from be it possible to sit together
4705,negative,Southwest,you right i do i be travel all day and you guy drop the ball for a long night
4706,negative,Southwest,jparkermastin customer service have be very passive in their response disappointed i have only sw but be rethink
4707,negative,Southwest,break the stroller my wife and baby gate check they tell her it not their problem call the a list preferred line now
4708,negative,Southwest,be this a joke my return be delay too in a row new record from you guy broken heart sleepy face
4709,negative,Southwest,nbd i be able to figure out a workaround just want to my bag less than hour late flightr muchas grassy as
4710,negative,Southwest,luggage delivery between really after i be tell by midnight multiple why lie crazy and bad business
4711,positive,Southwest,southwestair thx for the follow up just send dm
4712,negative,Southwest,now i do the common courtesy of my phone call answer either policy be bad or people should be fire dissaponted
4713,positive,Southwest,ty for your consideration
4714,negative,Southwest,apology be whatever please just deliver the bag like you say you would feel like employee be lie to me
4715,negative,Southwest,what robot be run this account the same one that do remember anything they ask same conversation over and over
4716,negative,Southwest,it be never really lose it be put on another with my knowledge we just be sure what but i have it ty
4717,positive,Southwest,sansfo be brilliant rita be hilarious i know i be down on you before but this be a great
4718,negative,Southwest,be nonbeing respond to the athlete notcool
4719,negative,Southwest,a whole family with a special olympic athlete here and you ca even call them
4720,negative,Southwest,would really like my baggage from yesterday employee at akron give me a tough
4721,positive,Southwest,thanks very excited to see it laugh
4722,negative,Southwest,southwestair glad you appreciate it it ll be the last dollar you ever from me thanks to your wretched customer service
4723,negative,Southwest,wait min for baggage mdw mem and the inflight service be suspend so no drink confuse face
4724,neutral,Southwest,yeah tomorrow to add min extra because of the road snow
4725,positive,Southwest,thanks for my mom after would let her on her plane in orlando you the best customerservice
4726,negative,Southwest,me again i be just try to rebook fare on wan na away pricing and it disappear in i refresh be this normal
4727,neutral,Southwest,i know that not everybody on can be but in case it be people in front deplane not from the back
4728,neutral,Southwest,may i have my companion pas please
4729,positive,Southwest,kudos to the crew of to grr for a very special memory for a sweet young passenger and her momma well do
4730,negative,Southwest,you pay for early bird and sat in back
4731,positive,Southwest,ar dia
4732,neutral,Southwest,yes please companionpass
4733,negative,Southwest,minute wait for my bag just what i need on a sunday night
4734,positive,Southwest,luv my companion pas
4735,neutral,Southwest,winter weather for denver extend for tomorrow by chance even to late flightr in the day would be super helpful
4736,negative,Southwest,it ok i be suppose to be in california ago
4737,negative,Southwest,i need to cancel one leg of a but ca seem to do this online be on hold on the phone for minute any
4738,negative,Southwest,alist preferred dendal cancel flightled min prior to board best option be tue afternoon seriously epic fail
4739,neutral,Southwest,free tv watch daytona bos
4740,negative,Southwest,i understand but it consistent and be consistent for year it know around the country
4741,positive,Southwest,you
4742,negative,Southwest,be deal with multiple office for the last day youve completely lose me as a customer unless my bag be back to me
4743,negative,Southwest,i the call from rdu that my baggage be there except that do me bc i ca it until i m back home
4744,neutral,Southwest,how do i a companion pas
4745,neutral,Southwest,especially if it your mom ichangedyourdiaper
4746,neutral,Southwest,how you like the redcarpet treatment
4747,negative,Southwest,for example ca pay hotel food or transport to alternate city we be from or give clear record of alt
4748,neutral,Southwest,i m out of cun tomorrow to den can i change my due to the travel advisory
4749,negative,Southwest,tough i can take zero meaningful assistance while strand for day be another matter look for sign you care abt cust
4750,negative,Southwest,do apologize do something about it word mean nothing action work eom
4751,negative,Southwest,after an hour and a half then it come back damage unhappy persevere face
4752,neutral,Southwest,how long do it take for my rapid reward point to be credit to my account
4753,negative,Southwest,why do the customer service have rather inconsistent information
4754,positive,Southwest,we pull off the runway now new friend with seat mate thanks for the response cb
4755,negative,Southwest,but to us tru to find space in other this customer service be as bad as
4756,negative,Southwest,ticket you board early i m last to board now have middle seat waste
4757,negative,Southwest,first you have a good idea thatthis would happen and do on it earlier then very amateurish that there be no plan
4758,negative,Southwest,very disappointed in your handling of tonight cancel flighted dallas not that it be cancel but no contingency
4759,positive,Southwest,it ok southwest be still the best airline around just hate when baggage room run out my now check bag have headphone
4760,negative,Southwest,please start to huntsville so i never have to american airline again
4761,negative,Southwest,no you be not you just care about mighty dollar
4762,neutral,Southwest,i have a child travel cross country she will be turn in march and cont
4763,neutral,Southwest,how do you one
4764,neutral,Southwest,retire with my hubby and it our wedding anniversary this year companion pas please
4765,positive,Southwest,beautiful view into san jose ca this evening
4766,positive,Southwest,for be a miracle worker awesome
4767,negative,Southwest,but expect no from southwestair our flt be canx at the last minute for weather we home on weatherless
4768,neutral,Southwest,want from new orleans houston see my dad at md anderson can you me out
4769,positive,Southwest,yes please
4770,positive,Southwest,i change my through st louis thanks for the reply though
4771,neutral,Southwest,by myself be old
4772,negative,Southwest,really should offer sweep if your link be to work b
4773,positive,Southwest,have have a companion pas for a few year and my wife and i use it all the thanks for travel easy
4774,negative,Southwest,why can we no longer change trip with a companion online be do it for year now message ca be do online
4775,negative,Southwest,wifi be so slow it totally preclude work on the web will not book swa for business travel wish i have lit on fire
4776,neutral,Southwest,yes pleasemy son life in nj
4777,neutral,Southwest,companion pas please
4778,negative,Southwest,everyone deserve red carpet tx until they destroy your luggage only give you voucher like i want to wthem again
4779,negative,Southwest,staff be overall awful through multiple airport would have switch airline if another be available
4780,positive,Southwest,lol i already be i be a card member as well too lol i enjoy with you guy
4781,positive,Southwest,anniversary on april still sweetheart companion lifetime son family love
4782,neutral,Southwest,southwestair well we all need something to aim for
4783,positive,Southwest,yes please how do we that companion pas
4784,negative,Southwest,on and i pay for wifi that ca load a website functionally except for your own live streaming unacceptable
4785,neutral,Southwest,gim me
4786,neutral,Southwest,still to dal
4787,negative,Southwest,you inspire me to start my own airline to combat your weak as airline sick of this shit
4788,neutral,Southwest,be service to aruba be permanently discontinue in august
4789,positive,Southwest,yes please
4790,positive,Southwest,i miss mine terribly a for my anniversary would be amaze it would mean luv be in the air dontmakemebeg
4791,positive,Southwest,i heart my cp status sure would be nice to have though
4792,positive,Southwest,redcarpet southwest companion pas would be great
4793,neutral,Southwest,i would love a great deal from bwi to las memorial day weekend aka my bday weekend grimace face
4794,positive,Southwest,i want one
4795,negative,Southwest,everyones who be cancel flightled today deserve
4796,positive,Southwest,southwestair companion pas because everyone deserve redcarpet treatment and a even if it your mom
4797,positive,Southwest,sign me up
4798,neutral,Southwest,i would love a redcarpet treatment
4799,neutral,Southwest,how do i my companion pas
4800,neutral,Southwest,tell me the secret to high redcarpet
4801,positive,Southwest,that would be brighter than all the star combine on the red carpet tonight
4802,negative,Southwest,how about auto check in for cp holder come on
4803,positive,Southwest,mine just in for the wife and my anniversary
4804,positive,Southwest,i love my companion pas qualify year hollymais
4805,neutral,Southwest,where be mine
4806,positive,Southwest,i continue to be amaze by the amazing customer service you swa
4807,neutral,Southwest,and how do one obtain this companion pas
4808,positive,Southwest,yes please
4809,positive,Southwest,sign me up
4810,positive,Southwest,just mine now where to
4811,negative,Southwest,wifi be the worst investment i have ever
4812,neutral,Southwest,can i any with cancelled my reservation
4813,negative,Southwest,sit in newark because be cancel flightled for no apparent reason all i be tell be sorry after hr wait
4814,neutral,Southwest,i have follow you await your dm
4815,neutral,Southwest,u dont have atlanta to san fransisco in in the present sale like u have in the last sale im look for return ticket
4816,negative,Southwest,could be bother to with my lose my luggage not a single helpful employee owner to be find in bwi
4817,negative,Southwest,seriously four delay only take minute to to vegas from i have a connecting ridiculous
4818,negative,Southwest,should their shit together before they owe my for my bag
4819,negative,Southwest,i request my board pas to be texted to me but i still have receive it
4820,negative,Southwest,i give you one more try figure you could a hr right nope delay an hr seem to be every
4821,negative,Southwest,i m gon na ignore the fasten seatbelt sign and i want to see if ur man enough to do anything about it
4822,negative,Southwest,i m a huge fan and give yall too much business so please fix the damn wifi
4823,neutral,Southwest,it next i will know about pay extra to the a line
4824,negative,Southwest,we understand air delay which be out of your control terrible telephone support apps and online access that do not work
4825,neutral,Southwest,south by southwest from sjc to sna tiday
4826,positive,Southwest,board pas to dallas gate board min before flt end of b group
4827,positive,Southwest,weather keep slow us down not your fault this be the a southwest of mine be late so i ca complain smile
4828,positive,Southwest,thanks
4829,neutral,Southwest,still plan on into dal we be try to in tomorrow from lax
4830,negative,Southwest,now i ca board thanks you guy move me to standby i be hold this boarding pas since yesterday
4831,positive,Southwest,have a beautiful fleet what a perfect evening to
4832,positive,Southwest,leave bur ten minute late and arrive in sjc a minute before we be suppose to impressed gettingbetter thumb up
4833,neutral,Southwest,sfo sna it an infinity silver band ring please
4834,negative,Southwest,two delayed in a row neither one of them explain
4835,negative,Southwest,you guy should stop do service in denver it horrible i stick here every i be here almost
4836,positive,Southwest,thanks only a minor delay so not a big deal smile appreciate the concern though board now you do have amazing service
4837,neutral,Southwest,travel with a year old thursday he do obviate an id correct
4838,neutral,Southwest,how dallas incoming look i m schedule to in at and wonder if i ll be stick in st louis instead
4839,negative,Southwest,have a very unpleasant experience over the phone with one of your agent a cancelled flightled i have the name agent id
4840,negative,Southwest,your wifi be anger me with its slowness
4841,positive,Southwest,you
4842,negative,Southwest,we be at the gate a long we gon na miss our connection at mdw ack
4843,positive,Southwest,i tweet several last week about info during storm always a timely tweet back thx grin face with smile eye
4844,negative,Southwest,sort of but i m arrive a day late and have to incur overnight cost in a connecting city heat at all
4845,negative,Southwest,and the hotel charge us per room because we have a pink paper need white
4846,negative,Southwest,just send it
4847,negative,Southwest,if you have a rule you should probably apply them all the inequitable sometimes shouldhaveflownjetblue
4848,neutral,Southwest,your hold music sound like it from super mario bros for gameboy color
4849,positive,Southwest,gate because of them i be unopposed to through or to las in the future clap hand clap hand clap hand
4850,negative,Southwest,baggage delivery at bwi very delayed and unnecessarily chaotic disappointing after a long trip from a frequent traveler
4851,negative,Southwest,most other carrier be out way past sw cancel flightlation and their passenger out much late flightr
4852,negative,Southwest,extremely frustrating travel experience in denver instead of land in sea on saturday now it monday afternoon
4853,negative,Southwest,i will be call someone on monday in customer relation very disappointed in how i be treat by customer service
4854,negative,Southwest,your complimentary hotel voucher be bs a night for the crappiest hotel ever i would wish this on my worst enemy
4855,negative,Southwest,worst air line ever you have no compassion of the handicapped
4856,neutral,Southwest,when be the two free promo come back look into the premiere card but might hold off or with another option
4857,negative,Southwest,you be a bunch of liar cancel flightled our and rebooked us four day late flightr
4858,neutral,Southwest,do
4859,neutral,Southwest,currently rebooked thru dallas but i hear they be expect an ice storm sigh strandednyc
4860,neutral,Southwest,check out our grader school science fair project she love on southwest airline
4861,positive,Southwest,ohk you bc of the inexpensive airfare that southwest have i can now travel around
4862,negative,Southwest,my golf bag be break on the i just take what the process for damage reimbursement
4863,negative,Southwest,ridiculous how you want to charge me to change even with multiple seat available on the i need
4864,positive,Southwest,mad love nyc
4865,negative,Southwest,thanks for cancelled our to bos we strand in den til wed night the of us will never again
4866,negative,Southwest,i be try to find airfare for my family your price be ridiculous almost more than notmadeofmoney
4867,positive,Southwest,my fav
4868,negative,Southwest,our be delay till tomorrow curse the weather
4869,negative,Southwest,now i m so lucky for my forced good deed i to be smash between huge ppl in the exit row god i m tiny face with tear of joy person tip hand
4870,neutral,Southwest,wish you allow to access you site for award track
4871,positive,Southwest,just it back about min ago about hr wo it but i appreciate the support voucher for essential
4872,neutral,Southwest,theacademy party in hotlanta
4873,negative,Southwest,could zoom out or scroll to touch buy
4874,neutral,Southwest,be have a party in the atl terminal letitgo
4875,neutral,Southwest,i hear a rumor be cancel flightled be this true
4876,positive,Southwest,be host an party in the terminal in atlanta peanutsonaplatter
4877,positive,Southwest,just watch crew on elderly lady off plane firstclass
4878,negative,Southwest,it be not still do know where ski be and can not a call back from bag svc at airport left several msg
4879,negative,Southwest,wife to dal just cancel flightled what do she do to find option to back home phx dal
4880,negative,Southwest,thanks for the response have pass rebooked now
4881,negative,Southwest,heart heart rt danihampton sorry to hear about the wifi connection dani please dm us your conf so we can you thanks
4882,positive,Southwest,you guy rule i will dm you heart you
4883,positive,Southwest,good to be back see you all again in several week
4884,negative,Southwest,boooo do be like the other airline
4885,positive,Southwest,stewardess really funny now i could the gent next to me to use some headphone this would be the perfect
4886,negative,Southwest,find a way to cancel
4887,neutral,Southwest,how can i check to see if my to nyc be expect to be delay or cancel flightled for this tuesday
4888,negative,Southwest,southwestair thx for the note be cancel flightled and today be all book so have to with another carrier shock
4889,negative,Southwest,could i a phone call from a customer service rep to the issue resolve
4890,positive,Southwest,think you have great people work for you
4891,positive,Southwest,way to out of denver today must be the only airline on flightingdelaying flyswa denverairport
4892,negative,Southwest,here a first both pilot and first officer in galley during
4893,neutral,Southwest,any update on cancel into dal i have a connecting there and hope it do delay due to weather
